iter	Passed	Remaining
0	0	36
1	0	30
2	0	27
3	1	24
4	1	23
5	1	24
6	1	24
7	2	24
8	2	23
9	2	23
10	2	23
11	3	22
12	3	22
13	3	22
14	3	22
15	4	21
16	4	21
17	4	21
18	4	21
19	5	21
20	5	20
21	5	20
22	6	20
23	6	19
24	6	19
25	6	19
26	7	19
27	7	19
28	7	18
29	8	18
30	8	18
31	8	18
32	8	18
33	9	17
34	9	17
35	9	17
36	10	17
37	10	17
38	10	16
39	11	16
40	11	16
41	11	16
42	11	15
43	12	15
44	12	15
45	12	14
46	12	14
47	13	14
48	13	13
49	13	13
50	13	13
51	14	13
52	14	12
53	14	12
54	15	12
55	15	12
56	15	11
57	16	11
58	16	11
59	16	11
60	16	10
61	17	10
62	17	10
63	17	9
64	18	10
65	19	9
66	19	9
67	19	9
68	20	8
69	20	8
70	20	8
71	20	8
72	21	7
73	21	7
74	21	7
75	22	6
76	22	6
77	22	6
78	23	6
79	23	5
80	23	5
81	24	5
82	24	5
83	24	4
84	25	4
85	25	4
86	25	3
87	25	3
88	26	3
89	26	2
90	26	2
91	27	2
92	28	2
93	28	1
94	28	1
95	29	1
96	29	0
97	29	0
98	29	0
99	30	0
