iter	Passed	Remaining
0	3	3376
1	3	1884
2	4	1356
3	4	1120
4	4	961
5	5	853
6	5	769
7	5	707
8	5	657
9	6	620
10	6	596
11	6	570
12	7	545
13	7	534
14	7	513
15	8	499
16	8	483
17	8	469
18	8	460
19	9	452
20	9	444
21	9	439
22	10	432
23	10	428
24	11	433
25	11	429
26	11	422
27	12	418
28	12	413
29	12	408
30	12	403
31	13	398
32	13	394
33	13	389
34	13	385
35	14	382
36	14	378
37	14	375
38	15	373
39	15	370
40	16	384
41	16	380
42	16	377
43	17	374
44	17	372
45	17	371
46	18	370
47	18	368
48	18	367
49	19	366
50	19	364
51	19	364
52	20	362
53	20	361
54	21	361
55	21	359
56	21	358
57	22	357
58	22	358
59	22	357
60	23	356
61	23	357
62	24	357
63	24	357
64	24	356
65	25	355
66	25	354
67	25	352
68	26	353
69	26	352
70	26	352
71	27	350
72	27	349
73	27	347
74	28	346
75	28	344
76	28	343
77	28	342
78	29	341
79	29	339
80	29	338
81	30	337
82	30	334
83	30	332
84	30	331
85	31	331
86	31	330
87	31	329
88	32	328
89	32	327
90	32	326
91	32	325
92	33	324
93	33	323
94	33	323
95	34	322
96	34	322
97	35	322
98	35	322
99	35	322
100	36	321
101	36	320
102	36	320
103	37	320
104	37	319
105	37	318
106	38	318
107	38	317
108	38	316
109	39	315
110	39	314
111	39	314
112	39	313
113	40	312
114	40	313
115	40	312
116	41	310
117	41	309
118	41	308
119	42	308
120	42	307
121	42	306
122	42	305
123	43	305
124	43	304
125	43	303
126	43	302
127	44	302
128	44	301
129	45	301
130	45	300
131	45	299
132	45	299
133	46	298
134	46	298
135	46	297
136	47	297
137	47	296
138	47	296
139	48	295
140	48	294
141	48	293
142	48	293
143	49	292
144	49	292
145	49	291
146	50	291
147	50	290
148	50	290
149	51	289
150	51	289
151	51	288
152	51	287
153	52	287
154	52	286
155	52	285
156	53	285
157	53	284
158	53	284
159	54	283
160	54	282
161	54	282
162	54	282
163	55	281
164	55	281
165	55	280
166	56	280
167	56	279
168	56	279
169	57	278
170	57	278
171	57	278
172	58	277
173	58	277
174	58	276
175	59	276
176	59	275
177	59	275
178	59	274
179	60	274
180	60	273
181	60	273
182	61	272
183	61	272
184	61	271
185	62	271
186	62	270
187	62	270
188	62	269
189	63	269
190	63	268
191	63	268
192	64	267
193	64	267
194	64	266
195	64	266
196	65	266
197	65	265
198	65	265
199	66	264
200	66	264
201	66	264
202	67	263
203	67	263
204	67	262
205	68	262
206	68	261
207	68	261
208	68	260
209	69	260
210	69	260
211	69	259
212	70	259
213	70	258
214	70	259
215	71	258
216	71	258
217	71	257
218	72	257
219	72	256
220	72	256
221	73	256
222	74	257
223	74	257
224	74	256
225	74	256
226	75	256
227	75	256
228	75	255
229	76	255
230	76	254
231	76	254
232	77	254
233	77	253
234	77	253
235	78	252
236	78	252
237	78	251
238	79	251
239	79	250
240	79	250
241	79	250
242	80	250
243	80	249
244	80	249
245	81	248
246	81	248
247	81	248
248	82	247
249	82	247
250	82	247
251	83	246
252	83	246
253	83	245
254	84	245
255	84	245
256	84	244
257	84	244
258	85	243
259	85	243
260	85	242
261	86	242
262	86	242
263	86	241
264	87	241
265	87	240
266	87	240
267	87	240
268	88	239
269	88	239
270	88	238
271	89	238
272	89	238
273	89	237
274	89	237
275	90	236
276	90	236
277	90	235
278	91	235
279	91	235
280	91	234
281	92	234
282	92	233
283	92	233
284	92	232
285	93	232
286	93	232
287	93	231
288	94	231
289	94	230
290	94	230
291	95	230
292	95	230
293	95	229
294	95	229
295	96	228
296	96	228
297	96	227
298	97	227
299	97	227
300	97	226
301	97	226
302	98	226
303	98	225
304	98	225
305	99	224
306	99	224
307	99	224
308	100	223
309	100	223
310	100	222
311	100	222
312	101	222
313	101	221
314	101	221
315	102	220
316	102	220
317	102	220
318	102	219
319	103	219
320	103	219
321	103	218
322	104	218
323	104	218
324	104	218
325	105	217
326	105	217
327	105	216
328	106	216
329	106	216
330	106	215
331	107	215
332	107	214
333	107	214
334	107	214
335	108	213
336	108	213
337	108	212
338	108	212
339	109	211
340	109	211
341	109	211
342	110	211
343	110	210
344	110	210
345	110	209
346	111	209
347	111	209
348	111	208
349	112	208
350	112	208
351	112	207
352	113	207
353	113	206
354	113	206
355	114	206
356	114	205
357	114	205
358	114	205
359	115	204
360	115	204
361	115	203
362	116	203
363	116	203
364	116	202
365	116	202
366	117	202
367	117	201
368	117	201
369	118	200
370	118	200
371	118	200
372	118	199
373	119	199
374	119	199
375	119	198
376	120	198
377	120	197
378	120	197
379	120	197
380	121	196
381	121	196
382	121	196
383	122	195
384	122	195
385	122	195
386	122	194
387	123	194
388	123	194
389	123	193
390	124	193
391	124	193
392	124	192
393	125	192
394	125	192
395	125	191
396	125	191
397	126	190
398	126	190
399	126	190
400	127	189
401	127	189
402	127	189
403	128	188
404	128	188
405	128	188
406	128	187
407	129	187
408	129	187
409	129	186
410	130	186
411	130	185
412	130	185
413	130	185
414	131	184
415	131	184
416	131	184
417	131	183
418	132	183
419	132	183
420	132	182
421	133	182
422	133	181
423	133	181
424	133	181
425	134	180
426	134	180
427	134	180
428	135	179
429	135	179
430	135	179
431	136	178
432	136	178
433	136	178
434	136	177
435	137	177
436	137	177
437	137	176
438	138	176
439	138	176
440	138	175
441	139	175
442	139	175
443	139	174
444	139	174
445	140	174
446	140	173
447	140	173
448	141	173
449	141	172
450	141	172
451	141	172
452	142	171
453	142	171
454	142	171
455	143	170
456	143	170
457	143	170
458	144	169
459	144	169
460	144	169
461	145	168
462	145	168
463	145	168
464	145	167
465	146	167
466	146	167
467	146	167
468	147	166
469	147	166
470	147	166
471	148	165
472	148	165
473	148	165
474	149	164
475	149	164
476	149	164
477	149	163
478	150	163
479	150	163
480	150	162
481	151	162
482	151	162
483	151	161
484	151	161
485	152	161
486	152	160
487	152	160
488	153	160
489	153	159
490	153	159
491	154	159
492	154	158
493	154	158
494	155	158
495	155	157
496	155	157
497	155	157
498	156	156
499	156	156
500	156	156
501	157	155
502	157	155
503	157	155
504	158	154
505	158	154
506	158	154
507	158	153
508	159	153
509	159	153
510	159	153
511	160	152
512	160	152
513	160	151
514	161	151
515	161	151
516	161	151
517	162	150
518	162	150
519	162	150
520	162	149
521	163	149
522	163	149
523	163	148
524	164	148
525	164	148
526	164	147
527	164	147
528	165	147
529	165	146
530	165	146
531	166	146
532	167	146
533	167	146
534	167	145
535	168	145
536	168	145
